valid_time,latitude,longitude,Total Precipitation (mm),Evaporation (mm),Surface Runoff (mm),Mean Wave Direction (°),10m U-Component of Wind (m/s),10m V-Component of Wind (m/s),2m Temperature,Mean Sea Level (°C),Sea Surface Temperature (°C),Soil Temperature Level 1 (°C),Soil Type,Soil Water Volume Level 1 (m³/m³),number,Experiment Version,Flood_Occurred
2019-06-01,17.5,83.75,0.011,-0.000125959,0.0,191.5300155757932,1.7577056999999998,5.83776855,302.95618,100329.22,303.21338,303.214,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.5,84.0,0.0052499999999999995,-0.000138417,0.0,183.728285,1.90907288,5.80896,302.92591000000004,100343.28,303.43896,303.4386,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.5,84.25,0.01,-0.000140473,0.0,191.5300155757932,2.06874085,5.8548583999999995,302.85559,100354.595,303.49072,303.490355,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.5,84.5,0.00906,-0.000132769,0.0,187.1736,2.2381744,5.68444835,302.83313,100365.72,303.31396,303.313595,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.5,84.75,0.00238,-0.00011958149999999999,0.0,191.5300155757932,2.36122135,5.4676513,302.7638,100379.595,303.00146,303.001095,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.5,85.0,0.00382,-0.000105404,0.0,189.470475,2.4969635,5.186889750000001,302.63782000000003,100393.28,302.73486,302.7345,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.5,85.25,0.002857,-0.000115082,0.0,191.5300155757932,2.6219635,5.07507335,302.774535,100403.345,302.90186,302.90247,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.5,85.5,0.005724,-0.0001204755,0.0,191.040785,2.76942445,4.9573975,302.724735,100418.03,303.15967,303.16028,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.5,85.75,0.010976999999999999,-0.000136807,0.0,191.5300155757932,2.820694,4.81726085,302.82239,100427.345,303.44873,303.44934,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.5,86.0,0.0219,-0.0001463445,0.0,192.25563,2.78016665,4.68347175,302.86145,100438.78,303.60693,303.60754499999996,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.5,86.25,0.0196,-0.00015172299999999998,0.0,191.5300155757932,2.6766509999999997,4.58386235,302.911255,100446.345,303.62256,303.622195,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.5,86.5,0.011899999999999999,-0.000151068,0.0,192.970475,2.4559478500000003,4.389526399999999,302.8761,100455.03,303.57275,303.572385,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.5,86.75,0.010499999999999999,-0.0001414415,0.0,191.5300155757932,2.27430725,4.0662841,302.81750999999997,100463.28,303.4497,303.44934,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.5,87.0,0.00763,-0.00013059349999999998,0.0,193.228285,2.22059635,3.73669435,302.77551,100471.155,303.35205,303.35168,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.75,80.0,0.0191,-4.5895e-05,0.0,191.5300155757932,0.239151,0.30603024999999995,306.243285,100330.405,302.9279268276109,308.839965,3.0,0.14795763,0,1,0
2019-06-01,17.75,80.25,0.020999999999999998,-4.3445e-05,0.0,191.5300155757932,-0.125595095,0.49353024999999995,306.053835,100345.845,302.9279268276109,308.70813,3.0,0.15559465,0,1,0
2019-06-01,17.75,80.5,0.171185,-5.54925e-05,0.00047700000000000005,191.5300155757932,-0.34336853,0.95153811,306.09973,100328.655,302.9279268276109,309.00208,3.0,0.15879900000000002,0,1,0
2019-06-01,17.75,80.75,0.0219,-6.03055e-05,0.0,191.5300155757932,0.19618223499999993,1.235229471,306.74328,100313.78,302.9279268276109,309.32532000000003,3.0,0.1607979,0,1,0
2019-06-01,17.75,81.0,0.0248,-6.9094e-05,0.0,191.5300155757932,0.58094789,1.062866225,306.89855,100283.905,302.9279268276109,309.26379,4.0,0.26037675000000005,0,1,0
2019-06-01,17.75,81.25,0.00668,-5.7386500000000004e-05,0.0,191.5300155757932,0.37294006,0.807495125,307.20715,100273.47,302.9279268276109,309.32629499999996,3.0,0.18196947000000002,0,1,0
2019-06-01,17.75,81.5,0.00143,-4.4875e-05,0.0,191.5300155757932,0.4168853735,0.43981929999999997,306.272585,100336.53,302.9279268276109,308.226685,3.0,0.14794237,0,1,0
2019-06-01,17.75,81.75,0.129223,-6.36265e-05,0.0031,191.5300155757932,-0.0020599350000000127,0.16735840000000002,304.03137000000004,100464.97,302.9279268276109,305.571415,3.0,0.17485887500000002,0,1,0
2019-06-01,17.75,82.0,0.08823,-6.15585e-05,0.00215,191.5300155757932,-0.12315368499999998,0.180053725,303.44738500000005,100502.905,302.9279268276109,304.70813,3.0,0.192635365,0,1,0
2019-06-01,17.75,82.25,0.473976,-6.79335e-05,0.0155,191.5300155757932,-0.23741150000000003,0.5252685335,301.77258500000005,100533.655,302.9279268276109,303.386845,3.0,0.24581987500000002,0,1,1
2019-06-01,17.75,82.5,0.701427,-6.91575e-05,0.0229,191.5300155757932,-0.1749114975,1.2591553000000002,301.070425,100495.595,302.9279268276109,303.52746,3.0,0.24672777,0,1,1
2019-06-01,17.75,82.75,0.0,-6.20185e-05,0.0,191.5300155757932,0.075576781,1.66442872,303.25207,100400.655,302.9279268276109,306.0343,3.0,0.15336687,0,1,0
2019-06-01,17.75,83.0,0.0009540000000000001,-5.36e-05,0.0,191.5300155757932,0.60243225,2.6068115,304.30286,100337.78,302.9279268276109,306.96301,3.0,0.1018074225,0,1,0
